code,name,r,g,b,type
#80a2c3,PLASCON B5-B1-3 — Plascon Colour Inspired,128,162,195,Лето
#98b6d2,PLASCON B5-B1-4 — Plascon Colour Inspired,152,182,210,Лето
#b0c5de,PLASCON B5-B2-1 — Plascon Colour Inspired,176,197,222,Лето
#c8d5e3,PLASCON B5-B2-2 — Plascon Colour Inspired,200,213,227,Лето
#d3dbe4,PLASCON B5-B2-3 — Plascon Colour Inspired,211,219,228,Лето
#708ba1,PLASCON B5-C1-3 — Plascon Colour Inspired,112,139,161,Лето
#879db2,PLASCON B5-C1-4 — Plascon Colour Inspired,135,157,178,Лето
#9baec0,PLASCON B5-C2-1 — Plascon Colour Inspired,155,174,192,Лето
#b5c3d2,PLASCON B5-C2-2 — Plascon Colour Inspired,181,195,210,Лето
#ccd5df,PLASCON B5-C2-3 — Plascon Colour Inspired,204,213,223,Лето
#72818f,PLASCON B5-D1-3 — Plascon Colour Inspired,114,129,143,Лето
#84919f,PLASCON B5-D1-4 — Plascon Colour Inspired,132,145,159,Лето
#97a3af,PLASCON B5-D2-1 — Plascon Colour Inspired,151,163,175,Лето
#abb6c1,PLASCON B5-D2-2 — Plascon Colour Inspired,171,182,193,Лето
#c2cbd5,PLASCON B5-D2-3 — Plascon Colour Inspired,194,203,213,Лето
#828a92,PLASCON B5-E1-4 — Plascon Colour Inspired,130,138,146,Лето
#9199a1,PLASCON B5-E2-1 — Plascon Colour Inspired,145,153,161,Лето
#a3abb3,PLASCON B5-E2-2 — Plascon Colour Inspired,163,171,179,Лето
#b3bbc5,PLASCON B5-E2-3 — Plascon Colour Inspired,179,187,197,Лето
#648fc6,PLASCON B6-A1-2 — Plascon Colour Inspired,100,143,198,Лето
#86a8d4,PLASCON B6-A1-3 — Plascon Colour Inspired,134,168,212,Лето
#a5bee4,PLASCON B6-A1-4 — Plascon Colour Inspired,165,190,228,Лето
#bfcee8,PLASCON B6-A2-1 — Plascon Colour Inspired,191,206,232,Лето
#d3dbe9,PLASCON B6-A2-2 — Plascon Colour Inspired,211,219,233,Лето
#e2e4e9,PLASCON B6-A2-3 — Plascon Colour Inspired,226,228,233,Лето
#6a86af,PLASCON B6-B1-2 — Plascon Colour Inspired,106,134,175,Лето
#859dc3,PLASCON B6-B1-3 — Plascon Colour Inspired,133,157,195,Лето
#9db1d1,PLASCON B6-B1-4 — Plascon Colour Inspired,157,177,209,Лето
#b4c3dc,PLASCON B6-B2-1 — Plascon Colour Inspired,180,195,220,Лето
#c6d1e3,PLASCON B6-B2-2 — Plascon Colour Inspired,198,209,227,Лето
#dce0e9,PLASCON B6-B2-3 — Plascon Colour Inspired,220,224,233,Лето
#7387a2,PLASCON B6-C1-3 — Plascon Colour Inspired,115,135,162,Лето
#8b9bb3,PLASCON B6-C1-4 — Plascon Colour Inspired,139,155,179,Лето
#a1adc1,PLASCON B6-C2-1 — Plascon Colour Inspired,161,173,193,Лето
#b8c1d2,PLASCON B6-C2-2 — Plascon Colour Inspired,184,193,210,Лето
#ced4e1,PLASCON B6-C2-3 — Plascon Colour Inspired,206,212,225,Лето
#747e8f,PLASCON B6-D1-3 — Plascon Colour Inspired,116,126,143,Лето
#87919f,PLASCON B6-D1-4 — Plascon Colour Inspired,135,145,159,Лето
#97a0ae,PLASCON B6-D2-1 — Plascon Colour Inspired,151,160,174,Лето
#abb3c1,PLASCON B6-D2-2 — Plascon Colour Inspired,171,179,193,Лето
#c3c9d5,PLASCON B6-D2-3 — Plascon Colour Inspired,195,201,213,Лето
#808690,PLASCON B6-E1-4 — Plascon Colour Inspired,128,134,144,Лето
